Студент,Семестр,Отлично,Хорошо,Удовлетворительно,Неудовлетворительно,Зачет,Незачет
1,1,0.08333333333333333,0.6666666666666666,0.25,0.0,0.6666666666666666,0.0
1,2,0.07692307692307693,0.9230769230769231,0.0,0.0,0.9230769230769231,0.0
1,3,0.06666666666666667,0.8,0.13333333333333333,0.0,0.8,0.0
1,4,0.0,0.5625,0.4375,0.0,0.5625,0.0
1,5,0.0,0.37142857142857144,0.0,0.6285714285714286,0.37142857142857144,0.6285714285714286
1,6,0.5,0.5,0.0,0.0,0.5,0.0
1,7,0.0,0.8,0.0,0.2,0.8,0.2
1,8,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0
1,9,0.0,0.5,0.5,0.0,0.5,0.0
1,10,0.5,0.0,0.5,0.0,0.0,0.0
2,1,0.25,0.75,0.0,0.0,0.75,0.0
2,2,0.0,0.875,0.125,0.0,0.875,0.0
2,3,0.0,1.0,0.0,0.0,1.0,0.0
2,4,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8571428571428571,0.0
2,5,0.125,0.875,0.0,0.0,0.875,0.0
2,6,0.5,0.5,0.0,0.0,0.5,0.0
2,7,0.125,0.75,0.125,0.0,0.75,0.0
2,8,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8888888888888888,0.0
2,9,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0
2,10,0.5,0.5,0.0,0.0,0.5,0.0
3,1,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.0
3,2,0.18181818181818182,0.5454545454545454,0.2727272727272727,0.0,0.5454545454545454,0.0
3,3,0.0,0.5,0.5,0.0,0.5,0.0
3,4,0.0,0.5,0.25,0.25,0.5,0.25
3,5,0.0,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.0
3,6,0.13333333333333333,0.7333333333333333,0.13333333333333333,0.0,0.7333333333333333,0.0
3,7,0.0,0.5,0.5,0.0,0.5,0.0
3,8,0.0,0.6923076923076923,0.3076923076923077,0.0,0.6923076923076923,0.0
3,9,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0
3,10,0.0,0.5,0.5,0.0,0.5,0.0
4,1,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0
4,2,0.0,1.0,0.0,0.0,1.0,0.0
