Студент,Семестр,Отлично,Хорошо,Удовлетворительно,Неудовлетворительно,Зачет,Незачет
2B2F3765476B77595568664E4B614C4F6A4E4B7167413D3D,1,0.0,0.2727272727272727,0.0,0.7272727272727273,0.2727272727272727,0.7272727272727273
2B2F3765476B77595568664E4B614C4F6A4E4B7167413D3D,2,0.0,0.0,0.0,1.0,0.0,1.0
2B2F3765476B77595568664E4B614C4F6A4E4B7167413D3D,3,0.0,0.0,0.0,1.0,0.0,1.0
2B2F3765476B77595568664E4B614C4F6A4E4B7167413D3D,4,0.0,0.0,0.0,1.0,0.0,1.0
2B2F397249583175764B6A74722B373239642F7053413D3D,1,0.125,0.875,0.0,0.0,0.875,0.0
2B2F397249583175764B6A74722B373239642F7053413D3D,2,0.16666666666666666,0.5833333333333334,0.25,0.0,0.5833333333333334,0.0
2B2F397249583175764B6A74722B373239642F7053413D3D,3,0.125,0.75,0.125,0.0,0.75,0.0
2B2F397249583175764B6A74722B373239642F7053413D3D,4,0.375,0.5,0.125,0.0,0.5,0.0
2B2F397249583175764B6A74722B373239642F7053413D3D,5,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8888888888888888,0.0
2B2F397249583175764B6A74722B373239642F7053413D3D,6,0.0,0.875,0.125,0.0,0.875,0.0
2B2F397249583175764B6A74722B373239642F7053413D3D,7,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8888888888888888,0.0
2B2F397249583175764B6A74722B373239642F7053413D3D,8,0.2222222222222222,0.7777777777777778,0.0,0.0,0.7777777777777778,0.0
2B2F397249583175764B6A74722B373239642F7053413D3D,9,0.0,1.0,0.0,0.0,1.0,0.0
2B2F397249583175764B6A74722B373239642F7053413D3D,10,0.5,0.5,0.0,0.0,0.5,0.0
2B2F594F58715179766342613567424C58306B4776513D3D,1,0.0,0.4375,0.4375,0.125,0.4375,0.125
2B2F594F58715179766342613567424C58306B4776513D3D,2,0.0,0.47058823529411764,0.47058823529411764,0.058823529411764705,0.47058823529411764,0.058823529411764705
2B2F594F58715179766342613567424C58306B4776513D3D,3,0.0,0.5625,0.25,0.1875,0.5625,0.1875
2B2F594F58715179766342613567424C58306B4776513D3D,4,0.0,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.6666666666666666,0.06666666666666667
2B2F594F58715179766342613567424C58306B4776513D3D,5,0.0,0.42105263157894735,0.47368421052631576,0.10526315789473684,0.42105263157894735,0.10526315789473684
2B2F594F58715179766342613567424C58306B4776513D3D,6,0.045454545454545456,0.4090909090909091,0.2727272727272727,0.2727272727272727,0.4090909090909091,0.2727272727272727
2B2F594F58715179766342613567424C58306B4776513D3D,7,0.0,0.25,0.25,0.5,0.25,0.5
2B2F594F58715179766342613567424C58306B4776513D3D,8,0.0,0.17073170731707318,0.0975609756097561,0.7317073170731707,0.17073170731707318,0.7317073170731707
2B2F594F58715179766342613567424C58306B4776513D3D,9,0.0,0.10344827586206896,0.06896551724137931,0.8275862068965517,0.10344827586206896,0.8275862068965517
2B2F594F58715179766342613567424C58306B4776513D3D,10,0.0,0.0,0.0,1.0,0.0,1.0
2B3242586235356D525A677A493141454B34667249413D3D,1,0.4444444444444444,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0
2B3242586235356D525A677A493141454B34667249413D3D,2,0.4444444444444444,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0
2B3242586235356D525A677A493141454B34667249413D3D,3,0.4444444444444444,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0
2B3272765979562B38442B4363364B4A396B527475413D3D,1,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8571428571428571,0.0
2B3272765979562B38442B4363364B4A396B527475413D3D,2,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.7777777777777778,0.0
2B3272765979562B38442B4363364B4A396B527475413D3D,3,0.2,0.8,0.0,0.0,0.8,0.0
2B3272765979562B38442B4363364B4A396B527475413D3D,4,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0
2B3272765979562B38442B4363364B4A396B527475413D3D,5,0.2857142857142857,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0
2B3272765979562B38442B4363364B4A396B527475413D3D,6,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0
2B3272765979562B38442B4363364B4A396B527475413D3D,7,0.0,0.7142857142857143,0.2857142857142857,0.0,0.7142857142857143,0.0
2B3272765979562B38442B4363364B4A396B527475413D3D,8,0.0,0.7142857142857143,0.2857142857142857,0.0,0.7142857142857143,0.0
